Rede,Seller_ID,Sites_Legitimos,Sites_Suspeitos
"rubiconproject.com","17280","uol.com.br;r7.com;terra.com.br","conexaopolitica.com.br"
"xandr.com","4009","uol.com.br;r7.com;terra.com.br","conexaopolitica.com.br"
"pubmatic.com","157743","uol.com.br;r7.com;terra.com.br","conexaopolitica.com.br"
"smartadserver.com","3050","uol.com.br;r7.com;terra.com.br","conexaopolitica.com.br"
"lijit.com","397546","uol.com.br;r7.com","conexaopolitica.com.br"
"onetag.com","75601b04186d260","uol.com.br;r7.com","conexaopolitica.com.br"
"adform.com","2218","uol.com.br;terra.com.br;terra.com.br","jornaldacidadeonline.com.br"
"appnexus.com","9818","uol.com.br;terra.com.br;terra.com.br","jornaldacidadeonline.com.br"
"criteo.com","B-061291","uol.com.br;terra.com.br;terra.com.br","jornaldacidadeonline.com.br"
"themediagrid.com","8RYHC4","uol.com.br;terra.com.br;terra.com.br","jornaldacidadeonline.com.br"
"google.com","pub-8417126197537762","uol.com.br;terra.com.br;terra.com.br","jornaldacidadeonline.com.br"
"google.com","pub-5767825948286332","uol.com.br;terra.com.br;terra.com.br","jornaldacidadeonline.com.br"
"media.net","8CUHCR0TP","uol.com.br;terra.com.br;terra.com.br","jornaldacidadeonline.com.br"
"media.net","8CUV1R5H1","uol.com.br;terra.com.br;terra.com.br","jornaldacidadeonline.com.br"
"media.net","8CUTP57S4","uol.com.br;terra.com.br;terra.com.br","jornaldacidadeonline.com.br"
"lijit.com","258942","uol.com.br;terra.com.br;terra.com.br","jornaldacidadeonline.com.br"
"lijit.com","258942-eb","uol.com.br;terra.com.br;terra.com.br","jornaldacidadeonline.com.br"
"admixer.net","d23623c9-fb6d-45a2-9377-90f490525317","uol.com.br;terra.com.br;terra.com.br","jornaldacidadeonline.com.br"
"triplelift.com","10985","uol.com.br","jornaldacidadeonline.com.br"
"triplelift.com","10985-EB","uol.com.br","jornaldacidadeonline.com.br"
"truvid.com","343","uol.com.br;ig.com.br;ig.com.br","jornaldacidadeonline.com.br"
"improvedigital.com","1680","r7.com","conexaopolitica.com.br"
"adyoulike.com","83d15ef72d387a1e60e5a1399a2b0c03","r7.com","conexaopolitica.com.br"
"rubiconproject.com","13510","r7.com;ig.com.br","jornaldacidadeonline.com.br"
"spotim.market","sp_AYL2022","r7.com;ig.com.br","jornaldacidadeonline.com.br"
"amxrtb.com","105199423","terra.com.br","jornaldacidadeonline.com.br"
"appnexus.com","16912","terra.com.br","jornaldacidadeonline.com.br;jornaldacidadeonline.com.br"
"aps.amazon.com","d4004b5f-4fb6-4be2-82ae-0e36b8f52c12","terra.com.br;ig.com.br","jornaldacidadeonline.com.br"
"aps.amazon.com","5d8ed25e-57cc-441a-b62a-127b34faae4e","terra.com.br;ig.com.br","jornaldacidadeonline.com.br;jornaldacidadeonline.com.br"
"chocolateplatform.com","15364","terra.com.br","jornaldacidadeonline.com.br"
"conversantmedia.com","100141","terra.com.br;terra.com.br","jornaldacidadeonline.com.br;jornaldacidadeonline.com.br;jornaldacidadeonline.com.br"
"google.com","pub-3166299510873585","terra.com.br","jornaldacidadeonline.com.br"
"google.com","pub-8584156348842922","terra.com.br","jornaldacidadeonline.com.br"
"nobid.io","22853635813","terra.com.br;terra.com.br","jornaldacidadeonline.com.br"
"onetag.com","61d88450bdb25bc","terra.com.br","jornaldacidadeonline.com.br;jornaldacidadeonline.com.br"
"pubmatic.com","95054","terra.com.br","jornaldacidadeonline.com.br;jornaldacidadeonline.com.br"
"rubiconproject.com","22884","terra.com.br;ig.com.br","jornaldacidadeonline.com.br;jornaldacidadeonline.com.br"
"rubiconproject.com","25512","terra.com.br","jornaldacidadeonline.com.br"
"sharethrough.com","Q9IzHdvp","terra.com.br","jornaldacidadeonline.com.br;jornaldacidadeonline.com.br"
"smartadserver.com","4164","terra.com.br","jornaldacidadeonline.com.br"
"themediagrid.com","DJQVCM","terra.com.br","jornaldacidadeonline.com.br"
"vdopia.com","15364","terra.com.br","jornaldacidadeonline.com.br"
"video.unrulymedia.com","2439829435","terra.com.br","jornaldacidadeonline.com.br"
"themediagrid.com","YZ2I83","ig.com.br","jornaldacidadeonline.com.br"
"screencore.io","292","ig.com.br","jornaldacidadeonline.com.br"
"risecodes.com","6878c6a1d8a38d000182aeba","ig.com.br","jornaldacidadeonline.com.br"
"google.com","pub-2441454515104767","ig.com.br","jornaldacidadeonline.com.br"
"onetag.com","7cd9d7c7c13ff36","ig.com.br","jornaldacidadeonline.com.br;jornaldacidadeonline.com.br;conexaopolitica.com.br"
"media.net","8CUTQ396X","ig.com.br","jornaldacidadeonline.com.br"
"lijit.com","349013","ig.com.br;ig.com.br","jornaldacidadeonline.com.br;jornaldacidadeonline.com.br;conexaopolitica.com.br"
"33across.com","0013300001hSPhhAAG","ig.com.br;ig.com.br","jornaldacidadeonline.com.br;jornaldacidadeonline.com.br"
"adyoulike.com","c1cb20fa2bbc39a8f2ec564ac0c157f7","ig.com.br;ig.com.br","jornaldacidadeonline.com.br;jornaldacidadeonline.com.br"
"amxrtb.com","105199704","ig.com.br;ig.com.br","jornaldacidadeonline.com.br;jornaldacidadeonline.com.br;conexaopolitica.com.br"
"9dotsmedia.com","3145","ig.com.br","jornaldacidadeonline.com.br"
"ad.plus","22896142137","ig.com.br","jornaldacidadeonline.com.br"
"adipolo.com","22887974830","ig.com.br","jornaldacidadeonline.com.br"
"adipolo.com","22915330089","ig.com.br","jornaldacidadeonline.com.br"
"adipolo.com","22785811991","ig.com.br","jornaldacidadeonline.com.br"
"adipolo.com","90643844","ig.com.br","jornaldacidadeonline.com.br"
"adipolosolutions.com","22887974830","ig.com.br","jornaldacidadeonline.com.br"
"adipolosolutions.com","22915330089","ig.com.br","jornaldacidadeonline.com.br"
"adipolosolutions.com","22785811991","ig.com.br","jornaldacidadeonline.com.br"
"adipolosolutions.com","90643844","ig.com.br","jornaldacidadeonline.com.br"
"admanmedia.com","2083","ig.com.br","jornaldacidadeonline.com.br"
"aniview.com","644a2ec0bbb56c05910637d4","ig.com.br","jornaldacidadeonline.com.br"
"aps.amazon.com","1ad7261b-91ea-4b6f-b9e9-b83522205b75","ig.com.br","jornaldacidadeonline.com.br"
"brid.tv","184","ig.com.br","jornaldacidadeonline.com.br"
"copper6.com","761479","ig.com.br","jornaldacidadeonline.com.br"
"copper6.com","22785811991","ig.com.br","jornaldacidadeonline.com.br"
"criteo.com","B-068833","ig.com.br","jornaldacidadeonline.com.br"
"criteo.com","B-072395","ig.com.br","jornaldacidadeonline.com.br"
"datawrkz.com","2100","ig.com.br","jornaldacidadeonline.com.br"
"e-planning.net","a57c4c4fa787d9b5","ig.com.br","jornaldacidadeonline.com.br"
"freewheel.tv","1003361","ig.com.br","jornaldacidadeonline.com.br"
"freewheel.tv","1076049","ig.com.br","jornaldacidadeonline.com.br"
"freewheel.tv","1076065","ig.com.br","jornaldacidadeonline.com.br"
"gannett.com","22662187259","ig.com.br","jornaldacidadeonline.com.br"
"google.com","pub-2942876710357394","ig.com.br","jornaldacidadeonline.com.br"
"google.com","pub-1222034086244490","ig.com.br","jornaldacidadeonline.com.br"
"google.com","pub-3990748024667386","ig.com.br","jornaldacidadeonline.com.br"
"google.com","pub-5372661266361105","ig.com.br","jornaldacidadeonline.com.br"
"indexexchange.com","183188","ig.com.br","jornaldacidadeonline.com.br"
"lijit.com","349013-eb","ig.com.br","jornaldacidadeonline.com.br"
"lijit.com","224984","ig.com.br","jornaldacidadeonline.com.br"
"lijit.com","275753","ig.com.br","jornaldacidadeonline.com.br"
"lijit.com","275753-eb","ig.com.br","jornaldacidadeonline.com.br"
"mgid.com","822784","ig.com.br","jornaldacidadeonline.com.br"
"onetag.com","7be5f802b0aef8e","ig.com.br","jornaldacidadeonline.com.br"
"onetag.com","7be5f802b0aef8e-OB","ig.com.br","jornaldacidadeonline.com.br"
"onetag.com","8e1b1cddf4eb779","ig.com.br","jornaldacidadeonline.com.br"
"opamarketplace.com","22887974830","ig.com.br","jornaldacidadeonline.com.br"
"opamarketplace.com","22915330089","ig.com.br","jornaldacidadeonline.com.br"
"opamarketplace.com","90643844","ig.com.br","jornaldacidadeonline.com.br"
"outbrain.com","0050d93e93e9679030e1d7f6d6e8b44d42","ig.com.br","jornaldacidadeonline.com.br"
"pgamssp.com","6425ca042cf1d9a1a10a7955","ig.com.br","jornaldacidadeonline.com.br"
"playstream.media","989","ig.com.br","jornaldacidadeonline.com.br"
"pmbmonetize.com","22887974830","ig.com.br","jornaldacidadeonline.com.br"
"pmbmonetize.com","22915330089","ig.com.br","jornaldacidadeonline.com.br"
"pmbmonetize.com","90643844","ig.com.br","jornaldacidadeonline.com.br"
"readwhere.digital","rd891fiofzktecyodvubtsyqhutsincexqe63e23569bf264","ig.com.br","jornaldacidadeonline.com.br"
"richaudience.com","s83mRZozwb","ig.com.br","jornaldacidadeonline.com.br"
"ringier.rs","20221205191915","ig.com.br","jornaldacidadeonline.com.br"
"rubiconproject.com","24872","ig.com.br","jornaldacidadeonline.com.br"
"rubiconproject.com","24874","ig.com.br","jornaldacidadeonline.com.br"
"rubiconproject.com","11106","ig.com.br","jornaldacidadeonline.com.br"
"rwadx.com","rw209mtasduinzgsxqpriqyfejxvmubnylu63e2356c0a23b","ig.com.br","jornaldacidadeonline.com.br"
"sharethrough.com","nREOtldZ","ig.com.br","jornaldacidadeonline.com.br"
"sharethrough.com","aEDv2gnF","ig.com.br","jornaldacidadeonline.com.br"
"smartadline.com","22887974830","ig.com.br","jornaldacidadeonline.com.br"
"smartadline.com","22915330089","ig.com.br","jornaldacidadeonline.com.br"
"smartadline.com","90643844","ig.com.br","jornaldacidadeonline.com.br"
"smartclip.net","10870","ig.com.br","jornaldacidadeonline.com.br"
"spotim.market","sp_browsi","ig.com.br","jornaldacidadeonline.com.br"
"target-video.com","184","ig.com.br","jornaldacidadeonline.com.br"
